episode,reward,loss,epsilon,time
0.0,-129.04941999999997,,1.0,4.81679368019104
1.0,-104.50874000000002,,1.0,9.966378450393677
2.0,-242.9695,,1.0,18.39372420310974
3.0,-128.03796000000003,,1.0,24.042010068893433
4.0,-54.107119999999995,,1.0,26.866339445114136
5.0,-243.01640000000003,,1.0,36.43829679489136
6.0,-101.21524,,1.0,40.90342140197754
7.0,-35.0643,,1.0,42.989004373550415
8.0,-8.987196249999998,0.4328857809305191,0.998,51.27464699745178
9.0,-8.944842,0.4181995511054993,0.978,60.194233894348145
10.0,-8.571676666666667,0.3731429974238078,0.972,64.33848595619202
11.0,-8.193389999999999,0.3172663182020187,0.962,68.97000551223755
12.0,-9.017806666666667,0.2522337387005488,0.959,71.06935214996338
13.0,-9.263446666666667,0.19685219476620355,0.953,75.20549750328064
14.0,-8.84753,0.12263480467455727,0.939,82.0345389842987
15.0,-8.874908,0.04888476207852364,0.9289999999999999,86.61379671096802
16.0,-9.60393,0.026925542391836643,0.9169999999999999,92.43617486953735
17.0,-9.688924,0.02607567675411701,0.8919999999999999,104.28675198554993
18.0,-6.704086086956521,0.015311175430922405,0.8689999999999999,114.35739827156067
19.0,-9.237846666666664,0.018653761595487595,0.8659999999999999,116.5844886302948
20.0,-8.478563333333335,0.01523004068682591,0.8599999999999999,120.51494550704956
21.0,-8.424926666666666,0.01551466000576814,0.8569999999999999,122.7406656742096
22.0,-7.95077,0.0182606081943959,0.8529999999999999,125.41813397407532
23.0,-9.832948888888888,0.014545164071023464,0.8439999999999999,130.31965231895447
24.0,-10.082012,0.013900098204612733,0.8339999999999999,134.94191098213196
25.0,-7.214291111111111,0.012097305618226528,0.8159999999999998,144.02854299545288
26.0,-11.973766666666668,0.014583471231162548,0.8129999999999998,146.2040503025055
27.0,-8.125399999999999,0.01194804161787033,0.8099999999999998,147.79846024513245
28.0,-8.335046666666665,0.01254596592237552,0.8069999999999998,150.44686722755432
29.0,-8.066356666666666,0.01371767014885942,0.8009999999999998,154.0233781337738
30.0,-8.16615,0.011716251261532307,0.7989999999999998,155.99055981636047
31.0,-6.889259999999999,0.011683107819408178,0.7969999999999998,157.93011260032654
32.0,-8.070093333333332,0.013378960390885672,0.7939999999999998,160.01654720306396
33.0,-7.6851623529411786,0.015079403350896695,0.7769999999999998,167.55052280426025
34.0,-9.065605,0.012774900998920202,0.7729999999999998,170.8936893939972
35.0,-7.602506000000001,0.011165530188009143,0.7629999999999998,176.0275378227234
36.0,-6.642762857142856,0.013178425841033459,0.7559999999999998,179.45721864700317
37.0,-9.34563,0.011040053446777165,0.7479999999999998,183.71227931976318
38.0,-9.582685714285715,0.011543135424809796,0.7409999999999998,187.92844796180725
39.0,-9.74874,0.010274777188897133,0.7389999999999998,190.43627214431763
40.0,-9.4249,0.012481709010899067,0.7339999999999998,196.57676720619202
41.0,-9.750233333333334,0.01160464808344841,0.7309999999999998,202.28804349899292
42.0,-8.96276,0.025180060416460037,0.7269999999999998,205.03323793411255
43.0,-8.255033333333333,0.041059888899326324,0.7239999999999998,207.3847358226776
44.0,-9.378267272727273,0.022449138150973755,0.7129999999999997,212.3758180141449
45.0,-9.003155199999998,0.01854939218610525,0.6879999999999997,223.57922840118408
46.0,-9.426650000000002,0.08386726304888725,0.6859999999999997,226.04232716560364
47.0,-8.42261,0.05285038209209839,0.6799999999999997,229.43154096603394
48.0,-8.695475,0.413801540620625,0.6719999999999997,233.80575466156006
49.0,-8.67562,0.12111992761492729,0.6679999999999997,237.35148859024048
50.0,-7.800393333333333,0.48046956459681195,0.6649999999999997,241.82411336898804
51.0,-8.8319,0.3169696778059006,0.6619999999999997,246.60347700119019
52.0,-7.361860000000001,0.11207152158021927,0.6599999999999997,248.91972017288208
