episode,reward,loss,epsilon,time
0.0,-53.45055963581611,0.00011187666677869856,0.9962000000000004,13.037364482879639
1.0,-64.51998991483295,8.450548921246082e-05,0.9861000000000015,38.01324772834778
2.0,-51.78990537887736,0.0001445444650016725,0.9760000000000026,63.12364888191223
3.0,-51.840651425132684,3.070048842346296e-05,0.9659000000000038,88.8883650302887
4.0,-59.817126170451395,3.99791169911623e-05,0.9558000000000049,115.97200274467468
5.0,-52.589647088541014,0.00010164518607780337,0.945700000000006,143.17908453941345
6.0,-54.128384733320786,4.389940295368433e-05,0.9356000000000071,169.62935042381287
7.0,-39.341097344555905,7.013906724750996e-05,0.9255000000000082,195.35424733161926
8.0,-62.32069696581518,0.00017460735398344696,0.9154000000000093,221.73634910583496
9.0,-61.94900547085914,0.0001748935756040737,0.9053000000000104,248.3448624610901
10.0,-50.37171514097772,0.0001466672110836953,0.8952000000000115,274.66718769073486
11.0,-33.02570255299792,0.0003171498537994921,0.8851000000000127,301.6838150024414
12.0,-51.01215778110053,0.00024105844204314053,0.8750000000000138,328.50880789756775
13.0,-49.031590309076286,0.00014537487004417926,0.8649000000000149,355.52648282051086
14.0,-39.65553033668826,0.00016772437084000558,0.854800000000016,383.50094175338745
15.0,-47.73837394251673,0.0004568001604638994,0.8447000000000171,412.3197467327118
16.0,-53.513556693649285,0.0005911978078074753,0.8346000000000182,440.3071084022522
17.0,-55.062333677451136,0.0004916065372526646,0.8245000000000193,466.63849997520447
18.0,-61.15347043732221,0.0005756979808211327,0.8144000000000204,492.5054190158844
19.0,-60.3897557879054,0.00021446145547088236,0.8043000000000216,518.2746109962463
20.0,-64.45865567115804,0.0004283804155420512,0.7942000000000227,544.624342918396
21.0,-39.80609096791857,0.00020499892707448453,0.7841000000000238,570.6493611335754
22.0,-60.86611443095021,0.0006170999840833247,0.7740000000000249,597.0385119915009
23.0,-45.521706467568265,0.0002272895653732121,0.763900000000026,624.1334733963013
24.0,-50.42109893387762,0.00027785959537141025,0.7538000000000271,653.7313098907471
25.0,-51.737566175239145,0.00049001001752913,0.7437000000000282,682.3914337158203
26.0,-44.085915641895106,0.0007572100148536265,0.7336000000000293,711.029949426651
27.0,-38.1571313929116,0.0008270792895928025,0.7235000000000305,739.1491868495941
28.0,-45.010942014332734,0.0014666737988591194,0.7134000000000316,767.7894771099091
29.0,-60.61063668848885,0.0006873784004710615,0.7033000000000327,797.1373488903046
30.0,-45.19175662288538,0.00082634505815804,0.6932000000000338,827.9977238178253
31.0,-49.22012094321023,0.0004966245614923537,0.6831000000000349,858.4291453361511
32.0,-60.39517788066839,0.0007127770222723484,0.673000000000036,890.0057330131531
33.0,-52.72297747910014,0.000604765024036169,0.6629000000000371,921.2756543159485
34.0,-52.89910951744147,0.0005356446490623057,0.6528000000000382,951.56187748909
35.0,-52.72897080463643,0.0006749859894625843,0.6427000000000394,981.5900554656982
36.0,-60.37310390204368,0.0011947855819016695,0.6326000000000405,1010.9765591621399
37.0,-57.60485641910804,0.0013472100254148245,0.6225000000000416,1040.1534428596497
38.0,-42.60705230428632,0.0013254822697490454,0.6124000000000427,1069.2494802474976
39.0,-47.75954826856253,0.0005726629169657826,0.6023000000000438,1099.0996901988983
40.0,-52.430021133650975,0.0009981895564123988,0.5922000000000449,1130.1637315750122
41.0,-59.74032523588243,0.002505261916667223,0.582100000000046,1161.1839327812195
42.0,-54.348075802966164,0.0006436421535909176,0.5720000000000471,1189.7001745700836
43.0,-39.697075887367426,0.0008132878574542701,0.5619000000000482,1216.9606714248657
44.0,-56.327675623133466,0.0005560251884162426,0.5518000000000494,1254.9797897338867
45.0,-53.313783047402985,0.00048476210213266313,0.5417000000000505,1287.4763815402985
