episode,reward,loss,epsilon,time
0.0,-40.20279368256493,,1.0,0.5956313610076904
1.0,-0.31889124558491305,0.0016809683859658738,0.9249999999999999,5.739055395126343
2.0,-0.17272804707413136,0.0003566562492310503,0.8239999999999998,12.578118801116943
3.0,-0.17198876712704167,0.00031024905882365446,0.7229999999999998,19.804171562194824
4.0,-0.28199874781059725,0.0003724239268374749,0.6219999999999997,27.409016370773315
5.0,-0.3266782102677469,0.0003410833419501173,0.5209999999999996,35.78943133354187
6.0,-0.33398176513892314,0.00035024895047478487,0.4199999999999995,44.3902428150177
7.0,-0.43080150441050047,0.0004028108933108333,0.3189999999999994,53.21854376792908
8.0,-0.2556599709499567,0.0005306849452968926,0.2179999999999993,62.39483976364136
9.0,-0.25917250221674043,0.0006305392446010235,0.11699999999999922,71.81827998161316
10.0,-0.26703042067497246,0.0008595785610769681,0.015999999999999126,82.2051637172699
11.0,-0.13382254633663257,0.0009502443870515701,0.01,92.5580587387085
12.0,-0.22460285797753313,0.0013298696891916454,0.01,102.94197630882263
13.0,-0.2623728720968094,0.0016515533068669167,0.01,113.2389645576477
14.0,-0.1694101335677024,0.0017202844016834871,0.01,123.85291647911072
15.0,-0.15126141346383698,0.0019717171740957933,0.01,134.16455030441284
16.0,-0.16758881117416094,0.0024216200811742333,0.01,144.5885214805603
17.0,-0.2858715379156195,0.0020059062085012987,0.01,155.18260741233826
18.0,-0.40545953947870556,0.002320961521864675,0.01,165.45864367485046
19.0,-0.12765025164826008,0.0027135477647978333,0.01,175.91018080711365
20.0,-0.44425251222335793,0.0029636799112321937,0.01,186.56028628349304
21.0,-0.3848986463555493,0.002976621509792449,0.01,197.0168559551239
22.0,-0.2661879326016235,0.0032195362209406966,0.01,207.44055676460266
23.0,-0.13381482823027233,0.0028806512533931412,0.01,218.15824937820435
24.0,-0.20635442526999728,0.003541854743864203,0.01,228.45600080490112
25.0,-0.14680977823431637,0.0033295921195243107,0.01,238.87415885925293
26.0,-0.1311257318201517,0.0033604258764765712,0.01,249.53168559074402
27.0,-0.0666699773683196,0.0027386648880114947,0.01,259.84721159935
28.0,-0.1294484365401795,0.0028044276174600466,0.01,270.1805396080017
29.0,-0.13769496113752114,0.0029681037591613533,0.01,280.57140350341797
30.0,-0.33398491221540194,0.002502191578393046,0.01,291.002916097641
31.0,-0.06223581837846831,0.0026015028706751764,0.01,301.38748478889465
32.0,-0.0007958085807774286,0.0027803722279155533,0.01,311.78458404541016
33.0,-0.271162155365702,0.002989280238715323,0.01,322.33175563812256
34.0,-0.21300449221575857,0.003574150090571493,0.01,332.61454463005066
35.0,-0.06453155623585269,0.003015379922229354,0.01,343.0944969654083
36.0,-0.28269061424610137,0.0031362173653502793,0.01,353.8283998966217
37.0,-0.06213355808902235,0.0029274681121996132,0.01,364.18137192726135
38.0,-0.19528240742933048,0.002925499083040891,0.01,374.5125057697296
39.0,-0.18609531551972275,0.0029022249434659682,0.01,385.3102889060974
40.0,-0.1952186787642539,0.003294236369610829,0.01,395.64715909957886
41.0,-0.06689438813771362,0.0031962796946581784,0.01,406.0411412715912
42.0,-0.07038812922931163,0.0033736068082254123,0.01,416.7566270828247
43.0,-0.13543065823169323,0.003104286965692766,0.01,427.0930016040802
44.0,-0.1953763363825506,0.002791507237032978,0.01,437.55952501296997
45.0,-0.12919940396411173,0.003397260202408427,0.01,447.85558581352234
46.0,-0.00025162337564734653,0.002971067017239362,0.01,458.2632234096527
47.0,-0.06605512090222812,0.0030526035830682825,0.01,468.6786081790924
48.0,-0.06184546871587966,0.0024964370699092227,0.01,479.1969449520111
49.0,-0.0004207176153451598,0.0024711148361537126,0.01,489.8502025604248
50.0,-0.06325105140430434,0.0025569224905333306,0.01,500.33953070640564
51.0,-0.06423209983702183,0.00304840931018796,0.01,510.96365666389465
52.0,-0.144145617110178,0.002908238035161048,0.01,521.6615636348724
53.0,-0.001091183657267978,0.00299290542278697,0.01,532.1232738494873
54.0,-0.12971484477037085,0.0036322539113231448,0.01,542.5536839962006
55.0,-0.0636811271364921,0.003019790509473625,0.01,553.2542896270752
56.0,-0.26961865566354526,0.0029825146061063994,0.01,563.6031181812286
57.0,-0.19392133831685351,0.0030937941939717544,0.01,574.095486164093
58.0,-0.06408378654857573,0.0032537283397759175,0.01,584.9537863731384
59.0,-0.34723021721919095,0.0029213430675779388,0.01,595.4536101818085
60.0,-0.3701693030180225,0.002852868150440183,0.01,605.9649760723114
61.0,-0.06344461680928003,0.0032164894394797854,0.01,616.8153676986694
62.0,-0.29284895480841805,0.002679428478730566,0.01,627.2837760448456
