episode,reward,loss,epsilon,time
0.0,-0.5849964085038503,0.00022755096122981176,0.9259999999999999,11.807062864303589
1.0,-0.537409212202234,0.00024651388045654065,0.7249999999999998,50.26586699485779
2.0,-0.4882624401174116,0.0005445642901798947,0.5239999999999996,86.61842131614685
3.0,-0.44102074410911424,0.0008802393500418611,0.3229999999999994,120.48160719871521
4.0,-0.4210071220532184,0.0012289398204374813,0.12199999999999922,156.60624074935913
5.0,-0.4372468863979911,0.0010924625903453715,0.01,203.70001578330994
6.0,-0.44815547531742805,0.0012630649116318858,0.01,249.0069763660431
7.0,-0.4587534597744714,0.0012678744510888813,0.01,288.41827416419983
8.0,-0.44056276992040544,0.001517708084473053,0.01,326.5731542110443
9.0,-0.4283496548789084,0.001680058800002597,0.01,365.5131959915161
10.0,-0.457207797422884,0.0018750005697053093,0.01,403.4341266155243
11.0,-0.39192616639520667,0.0021000209641503865,0.01,441.42850255966187
12.0,-0.37295508727705795,0.0015649533418206434,0.01,480.31983852386475
13.0,-0.5087228007712296,0.0018614884819233076,0.01,518.5950214862823
14.0,-0.4625771757140352,0.0019172665628891864,0.01,557.7884111404419
15.0,-0.37465830469262523,0.0016644997218165046,0.01,595.9774944782257
16.0,-0.3794851379070068,0.0018540726515895395,0.01,634.3857553005219
17.0,-0.3963465174894824,0.0016800602753206495,0.01,673.316647529602
18.0,-0.4503200921731568,0.0021870549911846273,0.01,711.4828622341156
19.0,-0.4008876382015682,0.001896349477479744,0.01,750.4309768676758
20.0,-0.37846487522449485,0.0019514255708695126,0.01,788.795248746872
21.0,-0.37539963554918143,0.002444672436205513,0.01,827.8571426868439
22.0,-0.3951977233955052,0.0021386301991719735,0.01,865.8338816165924
23.0,-0.32632238035393024,0.0023706178403857968,0.01,904.4743764400482
24.0,-0.31403605452199995,0.0026753682438145155,0.01,943.1435041427612
25.0,-0.42013362072044347,0.0023922630054621368,0.01,981.0303013324738
26.0,-0.28224430659162936,0.002688337103533211,0.01,1019.7274341583252
27.0,-0.3152097673906296,0.0026463837801844847,0.01,1057.8155035972595
28.0,-0.2654293870053252,0.0021880146658131436,0.01,1096.9078357219696
29.0,-0.318609843568739,0.0023205919956918158,0.01,1135.370638847351
30.0,-0.36586446726423033,0.0027942656480304117,0.01,1173.8796155452728
31.0,-0.3704630563885096,0.0025430521661350828,0.01,1212.8198206424713
32.0,-0.2656237709912279,0.0025291241869325773,0.01,1251.0144357681274
33.0,-0.348651665947928,0.002144063169030074,0.01,1289.5818383693695
34.0,-0.26173847502631514,0.0024414690227632352,0.01,1327.533222913742
35.0,-0.2292019978940091,0.002546134622899621,0.01,1366.5075409412384
36.0,-0.25971471304161553,0.0022774260292473753,0.01,1405.1448957920074
37.0,-0.4253242138192278,0.003184808657356348,0.01,1443.63156747818
38.0,-0.2897408829845416,0.0023892451481967794,0.01,1482.7193462848663
39.0,-0.3768078062565938,0.0025750154962957796,0.01,1520.857136964798
40.0,-0.4304688814764587,0.0025428234042358857,0.01,1560.0331847667694
41.0,-0.3434506012896779,0.0023007323057274913,0.01,1598.4890701770782
42.0,-0.27399895130421675,0.0031959180585780546,0.01,1637.2550554275513
43.0,-0.42152389251274275,0.0024188090734350593,0.01,1675.6381838321686
44.0,-0.32953768627159374,0.0027078831280507518,0.01,1714.1138293743134
45.0,-0.27455393369478476,0.002174374282120296,0.01,1753.1531233787537
46.0,-0.4069182801035967,0.002621040739459611,0.01,1791.4900345802307
47.0,-0.2891470385328106,0.00224714701970928,0.01,1830.465895652771
48.0,-0.28163772344015414,0.002479444593550239,0.01,1869.0119738578796
49.0,-0.3471745564246338,0.002544735313047984,0.01,1907.8773319721222
50.0,-0.3434463866620239,0.00268344486952384,0.01,1946.9559433460236
51.0,-0.283986858704321,0.002842561779682761,0.01,1985.7124230861664
52.0,-0.3046855594062445,0.002574422914796597,0.01,2025.0562632083893
53.0,-0.3232971776734484,0.002862873793561104,0.01,2063.4966781139374
54.0,-0.26366188719907024,0.0023541027408982835,0.01,2102.400057554245
55.0,-0.3723845335322417,0.00260615088647945,0.01,2140.7458515167236
56.0,-0.32686946884617196,0.0025390018396246345,0.01,2179.9753680229187
57.0,-0.326019516194843,0.0029765653200401225,0.01,2219.481856107712
58.0,-0.38769707468173936,0.002886305190738643,0.01,2258.0416452884674
59.0,-0.29637294766310585,0.0032521543519881866,0.01,2297.1914048194885
60.0,-0.24016615024339125,0.002480368355210333,0.01,2335.570550441742
61.0,-0.2904637458807367,0.00267617015425227,0.01,2374.9807982444763
62.0,-0.27234733512915066,0.002263080042587658,0.01,2413.757239818573
63.0,-0.36305487776509676,0.002384342911157442,0.01,2452.3240835666656
64.0,-0.25756089724410086,0.002598912006855678,0.01,2491.172910451889
65.0,-0.2887139071243539,0.0026397260035670813,0.01,2529.9209065437317
66.0,-0.2677364830098253,0.0022746338005135975,0.01,2569.2196021080017
67.0,-0.26089132674260884,0.0023178012661672943,0.01,2607.9929637908936
68.0,-0.25743214370525486,0.0021100361505407487,0.01,2647.0855374336243
69.0,-0.3019827661520525,0.002132942454961235,0.01,2685.609185695648
70.0,-0.31780944393551086,0.0024247914179117043,0.01,2724.2100710868835
